probe_id
TC12001842.hg.1
TC19001064.hg.1
TC17000014.hg.1
TC12000743.hg.1
TC15002776.hg.1
TC15002610.hg.1
TC01005298.hg.1
TC08001485.hg.1
TC11001098.hg.1
TC19001455.hg.1
TC19002642.hg.1
TC09000828.hg.1
TC03001414.hg.1
TC14001467.hg.1
TC6_cox_hap2000255.hg.1
TC03000258.hg.1
TC07001674.hg.1
TC03001160.hg.1
TC0X001076.hg.1
TC02001471.hg.1
TC02001311.hg.1
TC17000337.hg.1
TC15002609.hg.1
TC13000640.hg.1
TC12000744.hg.1
TC15002009.hg.1
TC06004119.hg.1
TC6_mann_hap4000206.hg.1
TC03002345.hg.1
TC6_dbb_hap3000236.hg.1
TC02003588.hg.1
TC12000799.hg.1
TC06002625.hg.1
TC09001695.hg.1
TC6_ssto_hap7000209.hg.1
TC07001007.hg.1
TC17000165.hg.1
TC19002702.hg.1
TC09000899.hg.1
TC15000864.hg.1
TC04001461.hg.1
TC02004092.hg.1
TC05002079.hg.1
TC02002007.hg.1
TC01004203.hg.1
TC12003266.hg.1
TC06004132.hg.1
TC07003089.hg.1
TC17001202.hg.1
TC01002194.hg.1
